Species,Animal,Muscle,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),Compactness,"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation""",Fibre Diameter (_m)
Pony,Pony 2,EDL,2.152747017,305.9743684,233.5471209,48.26315789,24.84631579,139.4999168,3.113089192,5.146482517,260.6412204,255.4021119,44.31743653,127.7498669,585.9738629,45.33246126,153.115298,60.28878724,6.692307692,42.95356128,0.839768565,58.56495296
Pony,Pony 3,EDL,1.320714299,203.3204944,138.0094053,25.64705882,14.32941176,93.82561504,4.083594314,4.408015027,193.5089288,225.9170727,34.94484519,94.24848573,397.1895376,58.5646925,112.0344171,50.00190035,1.8125,166.911556,0.307291667,49.76131092
Pony,Pony 4,EDL,1.735039874,165.1132474,184.1140392,21.14634146,19.22439024,89.4464312,5.553619157,4.266432051,134.1126596,209.6487121,29.78398338,80.56083506,308.0986129,69.87441752,148.2228618,71.88886636,1.794117647,139.3256117,0.298039216,72.8601173
Pony,Pony 5,EDL,1.669402925,306.3901598,266.1109835,41.54790823,38.05203779,166.8684788,4.570419802,5.327756463,282.653413,334.9938077,40.58257729,108.9707494,543.1091428,62.8505093,218.1356752,65.36490803,2.110953058,207.9958185,0.371704599,84.9914188
Pony,Pony 1,S,2.688613047,140.3225923,154.9573088,13.51612903,10.38709677,63.81627664,5.162648074,3.841398966,96.90811581,112.3494908,27.94757312,68.74075242,180.6147487,63.36375544,84.23555631,74.8580017,5,35.48157759,0.761904762,33.36410393
Pony,Pony 2,S,1.875580016,187.8007318,183.198501,24.9,12.74,78.76566316,3.778329992,4.275391054,139.1726084,124.5644838,35.5093067,93.90534021,261.513291,49.66712122,92.27770432,73.51971708,4,37.15867474,0.75,43.68074358
Pony,Pony 3,S,1.574142913,139.8376034,105.0681825,22.14705882,7.444705882,52.7317064,2.510939583,3.807841259,119.0663043,121.4222851,23.97475556,69.61923939,229.1683716,53.92499846,65.55733426,55.66683661,3,55.96776029,0.545833333,34.92080578
Pony,Pony 4,S,2.088203784,142.148539,134.0344007,22.48571429,17.92,72.82157611,3.567820832,4.197960441,105.9952386,138.4812653,22.89071019,65.44089975,226.5196157,63.60905628,89.53540378,64.36628476,3.571428571,55.03856031,0.644688645,43.3804221
Pony,Pony 5,S,2.421232977,176.1585552,161.8707115,25.10526316,15.14947368,81.49531922,3.718093793,4.383636769,110.2422485,148.116548,25.54835519,71.94502545,241.0491579,63.29467016,95.15274905,64.42792227,2.5,72.97545185,0.500925926,43.2774198
Dog,Dog 1,PB,1.5,368.1724539,252.3457761,90.05,63.126,193.8553043,2.30998643,5.831181552,416.7980683,346.4246103,38.52026597,109.5022796,580.1121473,59.56702189,182.751116,52.21833563,2.225,196.0409079,0.389166667,67.35015782
